velocity, maxwell_300, maxwell_600, maxwell_1500
velocity, Maxwell distribution for 300 m/s velocity, Maxwell distribution for 600 m/s velocity, Maxwell distribution for 1500 m/s velocity
m/s, units? , units?, units?
1286, 1.44249073574e-06, 0.000104886865931, 0.000648190911582
1288, 1.39978674663e-06, 0.000103483337137, 0.000645910786867
1290, 1.35827043746e-06, 0.0001020954666, 0.000643628945802
1292, 1.31791121204e-06, 0.000100723130156, 0.000641345472951
1294, 1.27867918791e-06, 9.9366203823e-05, 0.000639060452507
1296, 1.24054518192e-06, 9.80245638185e-05, 0.000636773968287
1298, 1.20348069594e-06, 9.66980865713e-05, 0.00063448610373
1300, 1.1674579029e-06, 9.53866487366e-05, 0.000632196941896
1302, 1.13244963298e-06, 9.4090127209e-05, 0.000629906565458
1304, 1.09842936011e-06, 9.28083991362e-05, 0.000627615056707
1306, 1.06537118857e-06, 9.15413419321e-05, 0.000625322497541
1308, 1.03324983996e-06, 9.02888332893e-05, 0.000623028969467
1310, 1.00204064025e-06, 8.90507511922e-05, 0.000620734553598
1312, 9.71719507129e-07, 8.7826973929e-05, 0.000618439330649
1314, 9.42262937569e-07, 8.66173801042e-05, 0.000616143380936
1316, 9.13647995551e-07, 8.54218486499e-05, 0.000613846784371
1318, 8.85852300044e-07, 8.42402588382e-05, 0.000611549620463
1320, 8.58854013176e-07, 8.30724902918e-05, 0.000609251968313
1322, 8.32631828614e-07, 8.19184229959e-05, 0.000606953906611
1324, 8.07164960145e-07, 8.07779373085e-05, 0.000604655513636
1326, 7.82433130461e-07, 7.96509139717e-05, 0.000602356867252
1328, 7.5841656014e-07, 7.85372341215e-05, 0.000600058044907
1330, 7.35095956826e-07, 7.74367792984e-05, 0.00059775912363
1332, 7.12452504602e-07, 7.63494314576e-05, 0.000595460180028
1334, 6.90467853558e-07, 7.52750729782e-05, 0.000593161290284
1336, 6.69124109539e-07, 7.42135866731e-05, 0.000590862530159
1338, 6.48403824095e-07, 7.31648557984e-05, 0.000588563974982
1340, 6.28289984604e-07, 7.21287640622e-05, 0.000586265699656
1342, 6.08766004581e-07, 7.11051956336e-05, 0.000583967778652
1344, 5.8981571417e-07, 7.00940351515e-05, 0.000581670286005
1346, 5.71423350813e-07, 6.90951677328e-05, 0.000579373295318
1348, 5.53573550089e-07, 6.81084789806e-05, 0.000577076879755
1350, 5.36251336736e-07, 6.71338549923e-05, 0.000574781112043
1352, 5.19442115835e-07, 6.61711823677e-05, 0.000572486064466
1354, 5.03131664168e-07, 6.52203482158e-05, 0.000570191808867
