velocity, planck_3000, planck_4000, planck_5000
1.91e-06, 4.13515133817e+11, 8.39649133668e+11, 1.33324128118e+12
1.92e-06, 4.08638648238e+11, 8.27538823185e+11, 1.31206042376e+12
1.93e-06, 4.03821461715e+11, 8.15632477666e+11, 1.29128510588e+12
1.94e-06, 3.99063080922e+11, 8.03926388094e+11, 1.27090644073e+12
1.95e-06, 3.94363002225e+11, 7.92416909632e+11, 1.25091575408e+12
1.96e-06, 3.89720712648e+11, 7.81100460987e+11, 1.23130457907e+12
1.97e-06, 3.85135690788e+11, 7.69973523746e+11, 1.21206465104e+12
1.98e-06, 3.80607407681e+11, 7.59032641684e+11, 1.19318790263e+12
1.99e-06, 3.76135327623e+11, 7.48274420046e+11, 1.17466645879e+12
2e-06, 3.7171890895e+11, 7.37695524809e+11, 1.15649263211e+12
2.01e-06, 3.67357604771e+11, 7.27292681928e+11, 1.1386589181e+12
2.02e-06, 3.63050863667e+11, 7.17062676557e+11, 1.12115799069e+12
2.03e-06, 3.58798130347e+11, 7.07002352265e+11, 1.10398269774e+12
2.04e-06, 3.54598846271e+11, 6.97108610239e+11, 1.08712605674e+12
2.05e-06, 3.50452450234e+11, 6.87378408471e+11, 1.07058125059e+12
2.06e-06, 3.46358378927e+11, 6.77808760941e+11, 1.05434162345e+12
2.07e-06, 3.42316067452e+11, 6.68396736798e+11, 1.0384006767e+12
2.08e-06, 3.38324949821e+11, 6.59139459529e+11, 1.02275206505e+12
2.09e-06, 3.34384459416e+11, 6.50034106126e+11, 1.0073895927e+12
2.1e-06, 3.30494029427e+11, 6.41077906259e+11, 9.92307209576e+11
2.11e-06, 3.26653093267e+11, 6.32268141435e+11, 9.77499007707e+11
2.12e-06, 3.22861084952e+11, 6.2360214417e+11, 9.62959217668e+11
2.13e-06, 3.19117439467e+11, 6.15077297157e+11, 9.48682205118e+11
2.14e-06, 3.15421593109e+11, 6.06691032434e+11, 9.34662467417e+11
2.15e-06, 3.11772983802e+11, 5.98440830562e+11, 9.20894630336e+11
2.16e-06, 3.08171051398e+11, 5.90324219799e+11, 9.07373444845e+11
2.17e-06, 3.04615237955e+11, 5.8233877529e+11, 8.9409378399e+11
2.18e-06, 3.01104988002e+11, 5.7448211825e+11, 8.8105063984e+11
2.19e-06, 2.97639748777e+11, 5.66751915162e+11, 8.68239120518e+11
2.2e-06, 2.94218970462e+11, 5.59145876982e+11, 8.55654447302e+11
2.21e-06, 2.90842106387e+11, 5.51661758343e+11, 8.4329195181e+11
2.22e-06, 2.8750861323e+11, 5.44297356777e+11, 8.31147073246e+11
2.23e-06, 2.842179512e+11, 5.37050511937e+11, 8.19215355724e+11
2.24e-06, 2.80969584205e+11, 5.29919104836e+11, 8.07492445656e+11
2.25e-06, 2.77762980005e+11, 5.22901057084e+11, 7.95974089212e+11
2.26e-06, 2.74597610362e+11, 5.15994330143e+11, 7.84656129842e+11
2.27e-06, 2.71472951166e+11, 5.09196924591e+11, 7.73534505863e+11
2.28e-06, 2.68388482563e+11, 5.02506879387e+11, 7.62605248107e+11
2.29e-06, 2.65343689057e+11, 4.95922271156e+11, 7.51864477633e+11
2.3e-06, 2.6233805962e+11, 4.89441213481e+11, 7.41308403494e+11
2.31e-06, 2.59371087777e+11, 4.83061856198e+11, 7.30933320566e+11
2.32e-06, 2.56442271695e+11, 4.76782384714e+11, 7.20735607429e+11
2.33e-06, 2.5355111425e+11, 4.70601019324e+11, 7.10711724305e+11
2.34e-06, 2.50697123102e+11, 4.64516014542e+11, 7.00858211051e+11
2.35e-06, 2.47879810747e+11, 4.58525658446e+11, 6.91171685201e+11
2.36e-06, 2.45098694573e+11, 4.5262827203e+11, 6.81648840061e+11
2.37e-06, 2.42353296905e+11, 4.46822208565e+11, 6.72286442849e+11
2.38e-06, 2.39643145042e+11, 4.41105852972e+11, 6.63081332891e+11
2.39e-06, 2.36967771293e+11, 4.35477621207e+11, 6.54030419858e+11
2.4e-06, 2.34326713001e+11, 4.29935959658e+11, 6.45130682046e+11
2.41e-06, 2.31719512567e+11, 4.24479344543e+11, 6.36379164712e+11
2.42e-06, 2.29145717468e+11, 4.19106281328e+11, 6.27772978436e+11
2.43e-06, 2.26604880267e+11, 4.13815304154e+11, 6.19309297545e+11
